100000, 0.49504709243774414, 2224072,940820
100000, 0.42818498611450195, 2173283,903193
100000, 0.4424738883972168, 2238016,904942
100000, 0.5059487819671631, 2211018,1060340
100000, 0.4474310874938965, 2182876,940417
100000, 0.5037839412689209, 2206637,992053
100000, 0.45102596282958984, 2169580,982125
100000, 0.5224790573120117, 2211217,976743
100000, 0.4373199939727783, 2179072,938161
100000, 0.4412539005279541, 2155474,940205
250000, 1.6338508129119873, 5983179,2761462
250000, 1.449578046798706, 5808920,2461549
250000, 1.2536568641662598, 5895948,2689725
250000, 1.4688949584960938, 6009202,2545251
250000, 1.4526588916778564, 5879976,2556266
250000, 1.2729923725128174, 5778291,2554202
250000, 1.4603290557861328, 5833794,2649591
250000, 1.4314138889312744, 5780116,2574078
250000, 1.4273731708526611, 5903360,2558233
250000, 1.4379010200500488, 5761465,2570216
500000, 3.302725315093994, 12361771,5732157
500000, 3.152578115463257, 12167106,5284939
500000, 3.1988611221313477, 12277328,5384764
500000, 3.1218631267547607, 12348044,5243877
500000, 3.0738019943237305, 12259495,5449917
500000, 3.1107218265533447, 12667445,5576426
500000, 3.082531690597534, 12516837,5618375
500000, 3.134097099304199, 12448164,5585457
500000, 3.0989060401916504, 12342103,5371848
500000, 3.097874164581299, 12212184,5537849
750000, 4.292386054992676, 18928075,8847188
750000, 4.814242124557495, 18777062,8836627
750000, 4.9025561809539795, 18884454,8305226
750000, 4.801698923110962, 18744370,8458769
750000, 4.851827144622803, 19059499,8407095
750000, 4.061254262924194, 18722018,8592227
750000, 4.540853977203369, 18910735,8659092
750000, 4.8039350509643555, 18784413,8640363
750000, 4.866319894790649, 18860842,8648249
750000, 4.637627124786377, 18830986,8367742
1000000, 6.765236854553223, 25808978,11625522
1000000, 6.933863878250122, 25891758,11391007
1000000, 6.797946929931641, 25743927,11740462
1000000, 6.831080913543701, 26047061,11959656
1000000, 6.83778190612793, 25971836,11600545
1000000, 6.838587045669556, 26035142,11380257
1000000, 7.136662006378174, 26021025,12086904
1000000, 6.939210891723633, 25757010,11052549
1000000, 7.638674020767212, 26167176,11896498
1000000, 7.2826220989227295, 26469794,11551541
2500000, 19.45927596092224, 68125007,29912430
2500000, 17.860013961791992, 68750187,32402640
2500000, 16.542162895202637, 67589842,30526770
2500000, 17.20545506477356, 69125069,31579507
2500000, 15.32357907295227, 69843238,31120882
2500000, 16.55673909187317, 67952388,30939603
2500000, 17.085350036621094, 71583996,31564655
2500000, 16.671891927719116, 68213462,30593147
2500000, 16.672083854675293, 69090395,29839909
2500000, 15.968324899673462, 68077970,30135585
5000000, 36.575045108795166, 140842117,66062472
5000000, 35.454615116119385, 141989192,66630058
5000000, 34.914856910705566, 141158686,62720558
5000000, 34.48376703262329, 142533878,62413110
5000000, 36.47099184989929, 142356599,62387629
5000000, 34.40759992599487, 142814326,67419885
5000000, 34.186124086380005, 141713705,62692462
5000000, 34.75268292427063, 141107609,64516510
5000000, 38.22074007987976, 143022453,64662521
5000000, 38.50406885147095, 144238729,65121455
7500000, 60.47499418258667, 220435581,97554009
7500000, 103.01929688453674, 218206537,98415909
7500000, 68.4659571647644, 216749446,96104138
7500000, 64.79292416572571, 220794518,101003484
7500000, 63.84806227684021, 215932477,96626919
7500000, 65.98492169380188, 220344737,102103575
7500000, 64.68179726600647, 217835255,98650740
7500000, 87.22634506225586, 228034716,111993373
7500000, 69.40147304534912, 218033524,95769789
7500000, 69.65640091896057, 223496718,104102698
7500000, 64.58488488197327, 222979151,100263945
9000000, 96.23244380950928, 265626584,118806828
9000000, 89.21121788024902, 263310357,118045194
9000000, 86.62937617301941, 264701964,124160883
9000000, 84.68894290924072, 265754825,124569697
9000000, 84.72076606750488, 264760885,114422744
9000000, 92.01183915138245, 266434304,127544075
9000000, 82.28257298469543, 262585601,120811051
9000000, 86.71174001693726, 270795619,124287272
9000000, 82.42085814476013, 267733345,122589810
9000000, 78.31909203529358, 264127307,117742968
10000000, 99.7499189376831, 301154352,138013003
10000000, 89.13682103157043, 293858839,130268810
10000000, 101.63234806060791, 302389980,141959355
10000000, 98.9794249534607, 300633788,131071307
10000000, 91.7057511806488, 291163505,134856201
10000000, 83.81639504432678, 296854083,130663319
10000000, 89.20126485824585, 294997221,135920789
10000000, 91.03562521934509, 300598849,128526609
10000000, 92.22317004203796, 298467059,137848835
10000000, 106.83485889434814, 311459450,139271459
1000, 0.018999814987182617, 59921,3235
1000, 0.0026350021362304688, 15357,6097
1000, 0.0034003257751464844, 14394,6171
1000, 0.003145933151245117, 13503,5447
1000, 0.00875997543334961, 59503,3839
1000, 0.009418010711669922, 58767,3820
1000, 0.009125947952270508, 59318,3298
1000, 0.008730888366699219, 59284,3770
5000, 0.1539008617401123, 1299121,17441
5000, 0.1314091682434082, 1298716,18482
5000, 0.0205230712890625, 80896,34026
5000, 0.019181013107299805, 85202,32947
